,sentiment,text
838,sad,because of covid 19 guidelines restricting visitation to hospitals and care centers john could not see his father in person before he died now he is asking members of his community to donate ipads that will be distributed to local medical centers
4652,fear,worthwhile read pass the information along we have got to look out for each other the government has failed us on a disturbing level
1569,joy,hoping that i would emerge on the other side of this more healthy and fit here's my dinner salad twitter com/iozlyen8rz
4689,fear,give it a break rob this constant haranguing is doing nothing but dragging down people who need to have their spirits picked up save the politicizing for when this crisis is over
2783,sad,what would be the situation if raga was pm entire world would laugh at us instead india leading the covid fight …
3621,anger,was planning on making chicken noodle soup tonight but apparently all of the grocery stores in my city are empty this is fucking ridiculous i just wanted to make tonight's meal while ppl are selfishly stocking up on food they probably do not need smh
1427,sad,coronavirus death rate mi blocked rate gong at same rate
353,sad,he wants to convey modi govt revoked article 370 as a result facing 370 cases of corona virus how sick
4642,fear,coronavirus could hit housing hard as australia teeters on edge of recession the guardian
4067,fear,i know everyone is panicking over the coronavirus but i just met my mum's new boyfriend and the first thing i said to him was “oh my god you are much taller than i thought if you break my mum's heart it is going to be much harder to kill you” and no one laughed
4038,fear,government it is extremely week and pd (ex communists) are dictating the globalist agenda troika it is on the way and we are under oms leading situation we need to breakout euro prison asap with eu will decay that is why they are killing italy now
583,sad,19 the us leads the world in confirmed deaths
2690,sad,yes and people fighting with hunger and poverty r also less vulnerable to …
3398,anger,florida niggas will live forever we dont give a fuck about no corona virus
1121,sad,corona cases continue to rise sindh chief minister syed murad ali shah increased lockdown in sindh till april 14
4661,fear,hackers use fake coronavirus maps to infect visitors with malware via
1020,sad,do not be deluded by the delay in your punishment when it comes it will be painful and severe _19
3998,anger,so you no longer think that the coronavirus is a hoax perpetrated by the democrats exactly when was your epiphany moment
2154,sad,we extend our deepest condolences to the somali people and especially to his family through the tragic death of honor nur hassan hussein (nur adde) the former prime minister of the country who died in london suffering from the deadly disease _19 pic twitter com/ia0nkyi8kg
991,sad,[ your life do not get better by chance its get better by change ] have you been affected by covid 19 crisis round_pushpin a pay cut by your company round_pushpin working extremely hard while managing your children at home…
3461,anger,pinche coronavirus arruina todo
3047,joy,israel offers to teach its secrets against coronavirus abroad …
307,sad,indian politics is more fatal than at this time of crisis instead of joining hands together to fight the virus our politicians are busy in blame game the migrants of other states are not voters and hence unwanted in their states shameless
3027,joy,brothers day 69 of lockdown from the archives of 2015 majnu ka tila (i'm normally lazy when it comes to archiving my photos and also the daily grind hinders the process but this lockdown boredom has given… …
669,sad,toh aapne kya kiya 60 years me do not blame the current govt to hide your failures and incompetencies thanks to pm and the whole team for leading the world from front to combat covid 19 india is doing best in the world
2369,sad,life is hard it is harder if you are stupid twitter com/39baeoupeh – at sivasagar town
2306,sad,with the third highest number of coronavirus cases and second highest official death toll in southeast asia the philippines also allowed the reopening of more businesses and people can now leave home without government permits
312,sad,lockdown khatam hone k baad loog ye status upload karenge missing lockdown face_with_tears_of_joy face_with_tears_of_joy
899,sad,why healthy asymptomatic covid 19 patients are dying at home in karachi
2283,sad,this time it is about indian economy after the covid19 pandemic pls watch comment and share …
4484,fear,the orange haired orangutan said last week that fear was fake news from democrats and it will be over in a few days it is just like flu he said now the idiot says it is a what changed moron
2079,sad,why you call shoab jamahai in debate he is a known islamist extremist he spread oral corona on tv he misused media for his said agenda of hate among society & govt of india defend his antinationals act in shaheen bagh
3645,anger,i bet the idiot gb being is very concerned over the coronavirus not because of the health of their followers but because of the hit their bank account is going to take if meetings and assemblies are canceled this is a worse case scenario for them
602,joy,illustration _mack _19 …
722,sad,indian railways trains resume on tuesday the world's largest lockdown involved shutting the network which carried 20m passengers/day now there will be face shields for passengers
1120,anger,why do u call idiots olike nishant verma on the show we will be compelled to stop watching i wish him corona
91,fear,'better a terrible end than endless terror' phrase
1867,sad,766 people with symptoms have been admitted to hospitals across situation now under control cm
1940,joy,glad to be part of a team that actually cares even in the times of lockdown jazz sent these care packages to its employees who are twitter com/t9rnujfum5
275,joy,naicee remix on yes let us break this lockdown together love from hugging_face hugging_face
458,joy,welcome to new life she fought well against covid 19
3888,anger,adiaram a sleep se fude coronavírus
4446,fear,all the churches kingdom halls synagogues that cancelled their services due to corona virus shame on you u should have faith that god has your backs & not worry to cancel services must mean u do not truly believe in god now u looking at science and you are scared of catching it
2041,fear,when scare ends pic twitter com/jlbmdj9kcw
3430,anger,bs why do you lie the chinese government notified who about the coronavirus on dec 31 the trump administration sprang into action less than a week later on jan 6 meanwhile all democrats did was to work on their next impeachment scheme the timeline proves you lie pic twitter com/sun60wsuym
3641,anger,yes quite the rouges gallery on the presser today all they needed was up there with them i am sick of this shitshow do not let this crappy bunch of derelicts make you feel that this is normal it is not
4238,fear,grocers struggle to keep sweet and salty snacks in stock as consumers look for comfort in cookies and chips amid growing coronavirus fears
4091,fear,dude is it irrational to not want to go to the gym while their is a coronavirus outbreak asking if i'm being too anxious or lazy
3607,anger,especially when he said you can go can go to work with coronavirus and when he said the “number” will be zero in the next week just admit that you prefer to remain ignorant
3557,anger,it is heartbreaking(｡•́︿•̀｡) the coronavirus disaster leads to fear and loathing——ccp is too far away but chinese are among americans i suppose it is much easier to blame the accessible than the crafty＆unlikely to punish but please treat them better ( •̥́ ˍ •̀ू )
585,sad,for the 6th day in the last 7 we have had after america the highest daily death toll from covid19 in the entire world
578,sad,as we continue our lockdown remember that we will come back stronger and better as a nation road ahead is tough but we are tougher our forefathers build this nation with their blood and…
3990,anger,*denmark shuts schools and universities after surge in coronavirus cases* denmark dk's prime minister is now announcing that most of denmark is shutting down schools and alot of institutions groups of more than 100 people is not allowed
4494,fear,the thought of jacob's nashville show getting cancelled makes my heart hurt soooooo bad please go away
897,sad,wajid khan the popular bollywood music director from the sajid wajid duo passed away today at the age of 43 he was suffering from covid 19
2333,joy,lockdown blessings
3825,anger,so claims the is a hoax while italy quarantines 16 million people we all may be dead or broke before we get a chance to vote this idiot out of office in november
3573,anger,grabbing bite at atl cashier took a text while serving me apparently lakeisha has coronavirus and will not be in none of us seemed to care we just wanted our stupid food
3423,anger,will it go ahead with coronavirus threats
3343,anger,do not let the coronavirus get you down burn one
3929,anger,cannot you ask your old mates at the bbc they seem to know every bloody thing about coronavirus especially their so called correspondents they bang on about it every waking hour
3501,anger,"""nothing justifies being rude to others"" and that goes for everything not just because of the coronavirus"
3815,anger,and ⁦ are aiming to have thousands of americans die from covid 19 to stop pres trump from being re elected dems are evil sick people ⁩ fails to move forward with coronavirus 'phase 3' bill amid dems' opposition
1069,joy,those who have been criticising doctors since the start of pandemic have good new home isolation policy is announced now you can take care of you asymptomatic patients i doubt how many will take care of their covid 19 positive relatives
526,joy,anyone is bellcome for this healthy cowdung sauna style bathwa only in hisar haryana bharat it will suckwa and killwa all the coronavirus
3144,joy,"lockdown also made the people ""brave and strong"" about their family issues and relationships"
3899,anger,i have been switching between al jazeera sky news bbc and cnn and frankly i am worried italy is in a terrible state hmmm we cannot afford to get to that point i pray we do not averagely that is what we do pray
694,sad,anthony causi beloved post sports photographer dies of coronavirus at 48 via
1630,fear,covid 19 spread can be stopped only through the formula of social distancing without that the stage 3 of the virus is not much distant away from the india society _distancing
3332,anger,"saying ""panic is not necessary"" is not helpful anytime anyone has told me to stop panic it just got worse"
4251,fear,worried about do not just wash your hands – urge congress to pass a key prevention tool and commonsense protection all workers need even when we are not facing a pandemic
3595,anger,i do not think the coronavirus realizes who it is messing with pic twitter com/llvkv4ne98
3475,anger,messaging has been disgraceful of course it would help if people actually used their brain instead of walking around totally clueless
3109,sad,most of the private hospital are charging 300 to 3500 per day for corona patients in mumbai and most of the the hospital dont have sufficient bed wt will happen with the peoples below poverty line
3935,anger,coronavirus is screwed
3945,anger,society does not care about me just because my face sucks and i have no control over it that is some bullshit and society is too shallow to even admit it at least corona virus is giving normies their just desserts
3633,anger,here are some tips to preventing yourself from getting corona virus wash your damn hands shower and overall have hygiene it is not hard people
3839,anger,immigration judges (naij) eoir has ordered immigration court staff to remove cdc posters designed to slow spread of coronavirus no this is not a parody account
4537,fear,i know if anything it is a cold people do not realize it is also spring with allergies not corona virus i'm not letting them poke me with nothing regardless they may just be injecting you with something jmo
430,joy,taher shah's new song is out it will end corona virus in the world now
3492,anger,nhs scotland shame on you we have a confirmed death due to the coronavirus in the highlands and are being refused information about where the individual was from allowing people the facts to enable informed decisions is only fair treat this as an foi
3604,anger,i rlly got to move out of college bc of coronavirus this shits crazyyy
88,sad,"death toll in italy surpasses 7 500"" over 400 patients 100 people recovered 200 dead globally"
3784,anger,serious question for all who think this whole thing is overreaction and hysteria do you actually believe nearly every nation on earth would shut down their entire economies over a “cold” or is it possible this is worse than they are telling us to prevent panic
4350,fear,do not know who this guy is but he has a great point kween hillary would be handling this crisis like a champ if she were president she did such a great job managing bill in the oval office we would really be going places if she was in charge sad
3486,anger,capitalism (and the greed it breeds) is probably going to make the spread of even worse in the us
1554,sad,this pc is a joke on those people who are suffering from _19india …
3971,anger,hm this corona virus is getting serious chale @ dansoman
4264,fear,just in public areas of buildings owned by in and around temple square in downtown slc have been closed until further notice due to concerns over the novel
4085,fear,you know who will be unaffected by the coronavirus the most deplorable of deplorables they will not get sick
3770,anger,“hahaha look everyone he shit himself ” nonono i swear i have coronavirus
158,sad,stigmabase — hong kong protesters have promised a 'miracle' but china's national security law seems after a months long break due to the coronavirus pandemic sunday's march was the first opportunity many hong kongers had to view article
4045,fear,is the making you afraid of what the future holds looking for a sense of peace call 877 whyislam you deserve to know
4302,fear,do not underestimate the coronavirus i repeat do not underestimate the coronavirus it has evolved to not only infect animals but also humans dont think it is dangerous cause it cannot kill you yet if we do not stop it covid 19 will continue to evolve to potentially become deadly
4383,fear,wall street roared back to life on tuesday rebounding from the brink of bear market confirmation as bargain hunting and hopes of government stimulus calmed investors' fears surrounding the and growing signs of imminent recession
3958,anger,the christian right and are the biggest threat to the world right now during this pandemic they outright evil their ignorance is death incarnate
3543,anger,dude on the train dressed like kakashi telling me “it's coronavirus safety not cosplay” he better kamui that mf then cuz his nike mask not doing shit
780,sad,let me tell you all this is the only trick of china to defeat america because they cannot come to the fore and fight america so they resorted to this corona virus and the whole world is suffering
1850,joy,my dearest mate it is been a real pleasure to have u i've not seen u personally but you are 1of those human beings who has a virtual presence in theloyalty i really love you respect you trust you be safe & if possible plz keep me posted regarding ur status pic twitter com/go071yuet0
3106,sad,really feeling bad is this the arrangements for unlock 1 really as we are having more than 3300 cases in the sole indore then too then arrangement are like this really feel bad /d5dvnyakjc
4149,fear,"coronavirus captain smith and pocahontas had a very mad affair when her daddy tried to kill him she said ""daddy oh do not you dare"" he gives me fever with his kisses fever when he holds me tight fever i'm his missus so daddy will not you treat him right"
70,sad,covid19 kills another event as dolpa43 becomes 100% online
3525,anger,the world today is just like 2000 we were warned about the millennium bug a potential technological problem what did people panic buy condoms coronavirus now panic buying loo roll think with our genitals for 2000 think out of arse today
1570,sad,i know govt is trying to get the economy back on track&minimize d loss but that does not mean you give instructions to resume the train & flight bookings lockdown must increase to safeguard the lives of people life comes before money
1578,joy,i hope you are all doing good in your quarantine stay home stay safe not only from but also be aware of the dangers of so use mortein products and say
1002,anger,this is our so called muslim society where a muslim women officer harassed by these shitts mard enko lagta hai ye musilman hai jummah par kr aye hai musilman hai no mein enko musilman ni janta touch her they abused her physical ridiculous __19
3199,joy,_board you & tejaswini both are doing a commendable job with special focus on board segment children though we got to know about you only during the lockdown have recommended your youtube video clips to many please continue with the good work & all the best
295,anger,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past & presnt charactr dey considr demslves superior to rst r careless fr _19india undr ugly thinktheory
4021,anger,probably going to take a mass shooting for people to shut up about the coronavirus for a few days
4720,fear,if i were ever faced with the prospect of licking a toilet seat where a thousand strange butts have sat coronavirus would be the last thing on my mind afterward i would hope for a fast acting strain of the disease to finish me off
1355,joy,due to one set of people some country utilising opportunity and make fun of entire community thing
4070,fear,so says nothing to worry about with the corona virus & then he works from home pulls his kids out of school & tells all other politicains to go into isolation some fucking leader
103,sad,due to and in bowenpally area there are a lot of people's are not having a single rupee to buy a rice and there in need of ration for their homes so please come out and help those people by feeding contact me 7799322774
3090,sad,rest in peace celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 pic twitter com/u4s0rtwlst
489,joy,day raised_hand_light_skin_tone victory_hand_light_skin_tone victory_hand_light_skin_tone globe_showing_Asia-Australia
4701,fear,all these super fit athletes testing positive for and here's me just lazing about fat as fuck severely unfit asthmatic full of anxiety does not believe in fruit or veg and a drug taking binge drinker what chance have i got come at me
4592,fear,it will take 25 years to test 20% of the uk population at the rate they are being tested for people are waiting on tests this is unacceptable and dangerous
4528,fear,fuck u coronavirus i cant hang out with any of my friends now and i have to sit by myself and think key word think thinking is not good cor my health
2544,sad,pls issue 2 beds for my parents in saket my parents are covid patients they need your help 30% beds r reserved for covid patients i request you to please help us my parents are diabities and hyper tension patients
3477,anger,the idiot's guide to coronavirus from an emergency physician via
4116,fear,hey do not email me about the coronavirus worry about my money and that is it you can cut the shit as well
3652,anger,i think it is time to replenish or add more weapons in my inventory regarding with this corona virus we are facing i will not be left defenseless in my own home if shit were to go down fuck that
571,joy,beauty of lockdown days red gulmohar flower carpet at melattur railway station of nilambur shornur railway line today ഒരു പൂമരക്കാറ്റ് പെയ്തപോലെ നിറയെ ചുവന്ന പൂക്കൾ courtesy pattikad railway station and…
3503,anger,we are lit rally getting low of medication it just crossed my mind where in hell am i going to find the treatment of my grandma with this coronavirus lockdown the prices in the fucking sky also i would better die
3859,anger,in italy people are getting fined if they leave the house due to coronavirus it is mad
3202,sad,karyakartas of abvp have been working round the clock to help students stuck during the lockdown so far thousands of northeast students have been helped by abvp this is what hon'ble chief minister of manipur shri ji has to say about abvp's work
1257,sad,you forgot the third india one that is try their best to spread the last and the most important one forth india those protecting the ones spreading this disease
1481,sad,an iranian cleric visited hospitals & made patients suffering from coronavirus smell a holy perfume which was handed over to him by the prophet the patient died next day coronavirus pic twitter com/5wdbnsx3ar
3635,anger,i can see the trolls posting pictures outside making that dumb hand signal when there is a quarantine like fucking ben sh*p*ro ugh it is totally going to happen is not it maga hats getting coronavirus to own the libs
2537,sad,the protesters in us should not give room to antisocial elements now they take everything in their hands looting both public and private properties and setting fires the main purpose shall be defeated hence stop agitation to save common people already suffering from corona
3727,anger,coronavirus will expose capitalism like never before via
989,joy,lockdown impact 2 grinning_face grinning_face_with_big_eyes
4434,fear,why are you still open and working are not driver examiners health/safety a concern is getting your licence considered an “essential” during they should get hazard pay no masks or gloves because it is not part of their uniform answers
641,sad,2019 2020 taking in easy way bihar is going in past in the last 10 years bcoz of poor governance of
3365,anger,us coronavirus up coverage until close use could upend can uk closed union cnn unleashes cbs
3314,joy,is lockdown only for common people of country is violating the lockdown norms by organising the parties and birthday celebrations political activities and social gatherings are ban but is orgainsing joining rallies is this the way to go ahead /bj6wbcx3of
1110,joy,… covid good news
177,anger,exploring my archives | staying home even if it has been hot as hell | kwang pottery jungle
2396,joy,isolated detainee pn dapat covid this rona will be treated as urti in few months lol …
4499,fear,corona virus when it falls on the fabricremains 9 hours so washing clothes or being exposed to the sun for two hours meets the purpose of killing it
2492,sad,the legacy to be kept in family robert's name does not goes down well with electorates corona lock down has been used for launch of new incumbent conveniently has surname gandhi and having crash course to dine with poor and show sympathy for them before he is launched in politics pic twitter com/rczzxjdvxj
4324,fear,we knew the coronavirus was coming for the economy but a dispute between saudi arabia and russia just sped up the trouble via
167,anger,finally ovrtook fr destruction vdout cause undr ego policy r dffrnt sides of d same coin unlike der past&presnt charactr dey consider demslves superior to rst r careless fr _19india undr ugly think theory
4337,fear,the is on trying to shed some light on how serious is pic twitter com/68k6gsrvpq
1932,fear,lockdown panic famine and inequality
532,joy,vanga nanbargala ellam onna polam fire brave decision by the gov for opening tasmac clapping_hands_light_skin_tone ellarom corona la sethalum parava illa nu tasmac open pandradhu romba nandri keep doing these great work
3300,sad,and the irony is no of corona cases in india are still less than my jee rank
517,sad,i want to go suriname when covid is over
3191,sad,thull is passing the most dangerous and ultra hazardous situation in its history 80% population of thul town and surrounding have been striked by corona virus cm/health m sindh to take notice we plead the govt to pay attention to thul retweet&share
4239,fear,when i asked why has not been sticking around after his last few events to meet with attendees—something that he clearly enjoys while on the trail—his campaign seemed to indicate that it was due to concerns about coronavirus issuing this statement to /kt2rbkjhga
3829,anger,nobody cares your eu ban made no sense anyway and you probably realised later mexico is about to build a wall of its own to prevent from u s but you will probably find a conniving method to send it their way anyhow anyway thought it was just a flu pic twitter com/z2t9ebowyy
2034,sad,from where can i get list of recognised testing/collection centres both govt and pvt clinics chandigarh panchkula area
4356,fear,i'm pretty sure you stomping your feet over words is equally ineffective you are trying to take the blame for assault and put it on the shoulders of those saying the coronavirus is from china that is not effective it is just stupid
2256,sad,dr pankaj shah aged 65 m d physician expired today at global hospital ahmedabad due to covid 19 r i p sir pic twitter com/kjihg6m9aq
4527,fear,i'm going insane i cannot leave the house i'm on a starbucks and dunkin ban cannot even go to the gas station infront of my house i'm this close to sneaking out in the middle of the night fuck the coronavirus )
2546,sad,please must watch this video this is the ground realty in kejri govt in covid 19 situation …
3694,anger,i'm so sick of this one was making a point one was deliberately trying to scare people gas masks do not even fucking protect against fuck just fuck
4638,fear,breaking mid american conference tournament to be played without fans due to coronavirus concern story
2483,joy,we gave won against corona and migrants have become politics now
3438,anger,corona virus is wwlll
4699,fear,"""federal reserve slashes interest rates to confront coronavirus pandemic"""
1741,sad,covid 19 etisalat offers free internet video voice calls for two months …
3391,anger,when ppl start losing their jobs over the pls remember to direct your anger to the democrat party & their media hacks who orchestrated this whole deal pic twitter com/t5kbbvscoe
3362,anger,i think girls think i have the coronavirus cuz they keep avoiding me
3095,sad,it is not because of covid he also suffering from kidney problem
2733,joy,excellency that will be a good time pass in lockdown
923,joy,we all look at the same moon with hope that everything gets better soon peace_symbol …
3789,anger,very true if we all just maybe he will go back to being just an another annoying twitter troll
3651,anger,why are they making the coronavirus such a big deal
3188,joy,great sir ji each & everyone person ia also corona various …
1213,joy,"very nice initiative by our and other officials we hv to fight against covid19 & we will get victory within 15 days if we follow the directions of our pm sahib & distt officials so 100% ""lockdown"" & if you need any thing there is no problem as admn is providing"
3900,anger,google bangalore employee tests positive for coronavirus and office park shuts down emails say
3913,anger,i am a census employee please help me get the word out we are 3 weeks away from hiring 100 000 people to count shelters food vans homeless this will hurt employees the vulnerable and the census count congress and the administration need to act
3122,sad,miss will be happy for another lockdown
2940,sad,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" …pic twitter com/43e9svyczv"
620,joy,jai shri ram ji plz obey lockdown and be fit healthy
4281,fear,"seriously now turning into an issue of ""personal responsibility"" in the face of incoherent and contradictory govt info we all just do our own thing only degenerate scum could display such malicious indifference"
870,joy,mubarak sparkling_heart pray for humanity palms_up_together pray for the world palms_up_together may allah forgive us all may allah protect us all from this pandemic _19 ameen sumameen palms_up_together – at ghouri town phase 5 islamabad
2894,sad,online ration card service is not working in maharashtra kindly have a look and plz start the service in lockdown it is very difficult to apply for the rc negligence seen in govt work during this lockdown i hope you will start online rc facility
3984,anger,field trips are getting cancelled and now dance competitions too frickin coronavirus ruined it ahh
4201,fear,i am not any more concerned about catching the coronavirus in amarillo tx as i am in new york catch me in times square
3898,anger,the main thing separating our government from that of so many others is democracy and w that accountability we cannot hesitate to hold our government accountable they are elected officials public servants people we trusted w our future and we deserve communication
4244,fear,the chinese communist party knew about coronavirus at least since november 2019 but instead of warning their own citizens and the world about it they supressed it and arrested anyone who tried to raise the alarm over this until it blew up in their and everyone is faces
4375,fear,"""what we need is to control the panic ” why this nobel laureate predicts a quicker coronavirus recovery 'we're going to be fine'"
3059,sad,bollywood singer composer dies of coronavirus at 42 /7frvjr8fik
2196,joy,now i'm share to my experience today 02155 hbj to hnz train awesome facility to indian railway these are providing to best facility and protection in covid 19 thank you so much – at ganj basoda railway station
4609,fear,trump you once said in a tweet that obama should go hug up everybody with ebola your time to go and kiss everybody in america with coronavirus is now as you called it the chinese i tell you be careful of what you say because you do not know which one you will have to eat
3988,anger,locked down here due the corona virus not going out until this thing blows over
4690,fear,hope they are careful where they go with coronavirus
4479,fear,i'm just making the most of this crisis by doing cameos i love you all love each other it is freee stay safe check out my cameo profile
1836,joy,"i m facing issue of ""content not supported on your device"" few days back i have seen sande movie on same device kindly look into matter as during lockdown this is only thing i have"
3502,anger,pandemia estado de emergencia y limitacion de derechos individuales y civiles un trade off entre seguridad y libertad de coste desconocido de gobernanza centralizada y asunción colectiva (p3)
4553,fear,jamaica's fin min annouces 7billion contingency bill for spending on health social economic security should conditions necessitate and we have an outbreak in a better position to withstand global shocks
3716,anger,"if all of these ""essential service"" workers get pushed to the side once this whole coronavirus thing passes they have every right to riot and destroy society by refusing to work"
78,sad,what happened in india migrants suffering with lockdown to go home they are paid fully ticket price but not satisfied
4071,fear,u s intelligence agencies did not mince words throughout january and february they repeatedly warned president donald trump and other top administration officials about the growing danger of the coronavirus and how it could quickly spread around the world
2936,sad,"celebrated music composer of the duo sajid wajid passes away at 42 he was suffering from covid 19 my prayers and strength for the entire family may his soul ""rest in peace"" twitter com/tk6ehuylvd"
4099,fear,this coronavirus is really starting to piss me off
2017,joy,lockdown success
412,sad,indians should tweet she was +ve on and she was attending meetings and treated in home why __19
933,fear,the fear of the deadly coronavirus on one side and the massive loss of profits on the other side which one are the oilygarchiks chorporate's going to choose let us see
2382,fear,when india was under lockdown (with cases in thousands) we were worried of corona now when india is unlocking (with lakhs of covid 19 cases) we are not worried in fact we are now ready to fight our invisible enemy we have accepted corona as our liability
3807,anger,company threatens to sue volunteers who 3d printed valves for coronavirus aid
2349,joy,i am proud of the way she reacted with courage for amfan and corona reacted is praiseworthy
4629,fear,meanwhile other youtubers are panicking making there followers panic let us stay calm folks let us talk about coronavirus via
4666,fear,no concern or leadership for coronavirus testing
804,fear,this is the sign of hyper action that leads to hypertension anxiety high blood pressure many lifestyle disorders and mostly ends with cardiac arrest by losing life practice yoga to balance your body emotions mind psyche and actions stay at home fight against coronavirus
25,sad,these mother fucker jihadists only happen to be in pashtoon region i do not consider them muslims & those who have trained them are worse animals 3 bloodsheds on the same day that is why we do not fear corona becoz we have worst virus than that
4543,fear,coronavirus infections in children including covid 19 the pediatric infectious disease journal
2949,sad,many other then labour need serious help sir wish corona caught me so i can fir too
3182,joy,feel has brought sense in is good concept but this guy has lied 2 us since 2014 that is d fact v see cannot believe him that is also a fact hope he implements
463,sad,poor taxi man help donation charity help money my taxi damage please help registration malikashraf1545 0092335252521what's my family corona virus my children crying hungry no food no milk please help donation thanks malikashraf1545 0092335252521what's
4121,fear,coronavirus lol the judge should send him a level 4 containment suit and a doula
3537,anger,i myself had a heart attack in september 18 2019 i'm not overly concerned about the coronavirus i think this is the most over exaggerated bunch of crap in news media history
2991,joy,agree to disagree first they should carry shit bags+2sets of hand glows+face masks& if dogs sneez/bark they should put dog face mask to dogs all these things its better to send their dogs2 *dog care* corona pendemic leave your dogs in*dogs care*one full year
4372,fear,not too sure licking the floor gives you probably upset tummy etc however the person sat in the pew next to you snotting and coughing all over you would he typifies the current us thinking
4301,fear,the national cyber security centre say “opportunistic” are using the outbreak to launch online attacks
4589,fear,harsh steps are needed to stop the coronavirus experts say
1989,fear,"""while the government has a responsibility to prevent the spread of misinformation about covid 19 this does not mean silencing those with genuine concerns or criticism of the government's handling of the crisis "" …"
4384,fear,i wish people would understand that not everyone has the privilege to not go to work when they are sick (when it is not the coronavirus btw) some people cannot just be like “i'm sick i'll stay home today xoxo”
1739,joy,digital marketing strategies in lockdown
